Cihaz	Tıklamalar	Gösterimler	TO	Pozisyon
Mobil	83.0	2179.0	0.0381	10.53
Masaüstü	18.0	2607.0	0.0069	35.57
Tablet	1.0	36.0	0.0278	11.61
