Cihaz	Tıklamalar	Gösterimler	TO	Pozisyon
Mobil	63.0	1589.0	0.039599999999999996	10.26
Masaüstü	15.0	2028.0	0.0074	35.57
Tablet	1.0	30.0	0.0333	10.2
